ANUM , BNUM , SERVICE_TYPE , USAGE , START_DATE_TIME

Sana Youssef,null,DATA,233.0,2024-08-25 00:00
Miller Joseph,Tariq Al-Mansour,CALL,49.0,2024-08-25 00:00
Tariq Al-Hassan,Rania Al-Khaled,CALL,29.0,2024-08-25 00:00
Kenneth Lopez,null,DATA,561.0,2024-08-25 00:00
Ali Al-Karim,Heba Saeed,CALL,53.0,2024-08-25 00:00
Brian Lopez,Bassam Al-Nasser,CALL,56.0,2024-08-25 00:00
Kimberly Green,Davis Maria,SMS,1.0,2024-08-25 00:00
Green Deborah,Jackson Helen,SMS,1.0,2024-08-25 00:00
Walker Angela,Layla Al-Karim,SMS,1.0,2024-08-25 00:00
Joseph Rodriguez,null,DATA,646.0,2024-08-25 00:00
Noor Al-Qadir,Lopez Brian,SMS,1.0,2024-08-25 00:00
Carol Lee,null,DATA,376.0,2024-08-25 00:00
Anthony Hernandez,William Jones,SMS,1.0,2024-08-25 00:00
Mahmoud Shaheen,Yusra Kamal,SMS,1.0,2024-08-25 00:00
Hall Melissa,Yasmeen Al-Qasim,CALL,54.0,2024-08-25 00:00
Dalia Rafik,null,DATA,937.0,2024-08-25 00:00
Davis Thomas,null,DATA,652.0,2024-08-25 00:00
Hernandez Steven,null,DATA,170.0,2024-08-25 00:00
Harris Carol,null,DATA,443.0,2024-08-25 00:00
Garcia Christopher,Thompson Donna,SMS,1.0,2024-08-25 00:00
Ali Al-Amin,Khalid Al-Din,CALL,6.0,2024-08-25 00:00
Moore Helen,Omar Al-Saeed,SMS,1.0,2024-08-25 00:00
Malak Maher,Alice Johnson,CALL,59.0,2024-08-25 00:00
Dorothy Taylor,Yasmeen Al-Hassan,CALL,8.0,2024-08-25 00:00
Imran Al-Mansour,null,DATA,271.0,2024-08-25 00:00
Sharif Karam,null,DATA,160.0,2024-08-25 00:00
Huda Al-Qadir,Tariq Mahdi,CALL,16.0,2024-08-25 00:00
Jeffrey Adams,null,DATA,147.0,2024-08-25 00:00
Anas AlSenaidy,null,DATA,406.0,2024-08-25 00:00
Nadia Aref,Ruba Al-Qassim,SMS,1.0,2024-08-25 00:00
Noor Al-Aziz,Wael Tariq,SMS,1.0,2024-08-25 00:00
Barbara Jones,null,DATA,8.0,2024-08-25 00:00
Faris Al-Karim,Richard Davis,CALL,50.0,2024-08-25 00:00
Sara Al-Karim,Martinez Lisa,CALL,2.0,2024-08-25 00:00
Miller Jennifer,null,DATA,67.0,2024-08-25 00:00
Imad Al-Rashid,null,DATA,275.0,2024-08-25 00:00
Martinez Anthony,Michelle Clark,CALL,24.0,2024-08-25 00:00
Brenda Smith,David Miller,SMS,1.0,2024-08-25 00:00
Walid Al-Qadir,Yasmin Al-Mubarak,SMS,1.0,2024-08-25 00:00
Michael Brown,Zeina Al-Muhammad,CALL,12.0,2024-08-25 00:00
Abbas Zayn,Zainab Al-Sabbagh,SMS,1.0,2024-08-25 00:00
Zeina Ahmed,null,DATA,357.0,2024-08-25 00:00
Miller Elizabeth,null,DATA,769.0,2024-08-25 00:00
Huda Firas,null,DATA,575.0,2024-08-25 00:00
Lina Qasim,null,DATA,689.0,2024-08-25 00:00
Rana Al-Siddiq,James Smith,SMS,1.0,2024-08-25 00:00
Ziad Abdelkader,Lopez Sharon,SMS,1.0,2024-08-25 00:00
Walid Al-Mahdi,Hernandez Karen,SMS,1.0,2024-08-25 00:00
Yasmeen Al-Muhannadi,Brown Barbara,CALL,22.0,2024-08-25 00:00
Roula Ashraf,null,DATA,777.0,2024-08-25 00:00
Farah Al-Din,Ruba Al-Farouq,SMS,1.0,2024-08-25 00:00
Khalid Al-Faisal,Rodriguez Daniel,CALL,27.0,2024-08-25 00:00
Layla Al-Farouq,null,DATA,221.0,2024-08-25 00:00
Mira Adel,Donald Jackson,SMS,1.0,2024-08-25 00:00
Nelson Cynthia,Nancy Taylor,CALL,4.0,2024-08-25 00:00
Ruba Al-Najjar,null,DATA,591.0,2024-08-25 00:00
Bassem Al-Aziz,Sarah Scott,CALL,45.0,2024-08-25 00:00
Nada Al-Hadi,Lee George,CALL,43.0,2024-08-25 00:00
Rana Al-Khatib,null,DATA,360.0,2024-08-25 00:00
Bassem Al-Mansour,Patricia Williams,CALL,40.0,2024-08-25 00:00
